transaction_id,user_id,transaction_amount,transaction_type,transaction_time,location,is_foreign_transaction,device_type,is_new_device,is_new_location,account_age_days,avg_transaction_amount,transactions_last_24h,failed_logins_24h,time_since_last_txn,txn_hour,is_weekend,is_fraud
T0086548,U9625,5068.33,NEFT,25-09-2024 02:47,Delhi,0,Tablet,0,1,3124,4957.53,1,0,947,2,0,0
T0088155,U9783,3428.09,IMPS,23-06-2024 07:32,Delhi,0,Mobile,0,1,2302,3750.88,0,0,902,7,1,0
T0076282,U8629,5161.81,NEFT,02-06-2024 16:01,Mumbai,0,Mobile,0,0,1157,4075.63,5,0,893,16,1,0
T0013138,U2319,4242.4,UPI,30-01-2024 01:36,Chennai,0,Tablet,0,0,613,3745.28,2,1,1139,1,0,0
T0060581,U7056,1721.96,UPI,02-07-2024 06:52,Hyderabad,0,Desktop,0,0,637,2818.78,1,0,710,6,0,0
T0080790,U9065,4014.32,UPI,18-06-2024 12:07,Chennai,0,Mobile,0,0,3185,4989.4,0,1,231,12,0,0
T0068449,U7843,4562.58,UPI,14-01-2024 06:47,Hyderabad,1,Mobile,0,0,2555,3948.85,1,0,996,6,1,0
T0045730,U5560,3495.59,RTGS,27-03-2024 21:37,Mumbai,0,Desktop,0,0,1326,4373.54,1,0,1439,21,0,0
T0054901,U6485,4790.78,ATM Withdrawal,15-09-2024 18:46,Hyderabad,0,Tablet,1,1,619,3830.05,1,0,982,18,1,0
T0005564,U1562,2028.27,NEFT,14-08-2024 17:17,Hyderabad,1,Desktop,1,1,2331,2998.97,3,0,370,17,0,1
T0067901,U7788,4358.16,NEFT,19-03-2024 19:31,Mumbai,0,Mobile,0,0,2676,4699.65,4,0,1148,19,0,0
T0029069,U3920,3390.5,ATM Withdrawal,04-04-2024 00:55,Hyderabad,0,Desktop,0,0,243,3631.11,5,0,1104,0,0,0
T0098443,U10826,2718.63,RTGS,13-10-2024 21:45,Bangalore,0,Mobile,0,0,2615,3465.72,0,1,112,21,1,0
T0075001,U8503,2631.75,UPI,18-01-2024 04:41,Delhi,0,Mobile,0,0,116,3188.33,1,0,525,4,0,0
T0038491,U4854,8375.08,ATM Withdrawal,18-07-2024 09:51,Chennai,0,Mobile,1,0,3080,4593.64,1,0,1347,9,0,1
T0004698,U1475,4713.42,NEFT,21-07-2024 06:16,Hyderabad,0,Mobile,0,0,1201,4353.68,1,1,1158,6,1,0
T0035933,U4599,2430.13,IMPS,19-08-2024 21:58,Bangalore,0,Desktop,0,0,546,3993.95,1,1,680,21,0,0
T0072666,U8270,4390.84,IMPS,01-11-2024 15:17,Kolkata,0,Mobile,0,0,3102,5634.4,1,0,994,15,0,0
T0029629,U3979,4496.54,RTGS,07-07-2024 08:27,Kolkata,1,Mobile,0,0,757,3716.19,2,1,444,8,1,0
T0037623,U4771,5585.34,IMPS,18-02-2024 09:39,Kolkata,0,Desktop,0,0,3364,5619.88,4,0,1298,9,1,0
T0031613,U4170,4332.66,UPI,05-03-2024 22:07,Bangalore,0,Mobile,0,1,1933,4605.88,3,1,463,22,0,0
T0091374,U10104,3938.84,UPI,07-08-2024 11:01,Mumbai,0,Desktop,0,0,3414,4600.55,2,0,1298,11,0,0
T0065039,U7501,4784.69,NEFT,15-04-2024 09:09,Kolkata,0,Mobile,0,0,320,4988.9,1,1,917,9,0,0
T0014659,U2469,3759.96,UPI,18-11-2024 06:19,Mumbai,0,Mobile,0,0,1050,5305.55,3,0,140,6,0,0
T0047208,U5709,5992.68,NEFT,24-10-2024 13:33,Chennai,0,Desktop,0,1,2841,3512.27,4,0,722,13,0,0
T0092220,U10187,8460.14,NEFT,08-09-2024 05:16,Bangalore,0,Mobile,1,0,2717,4140.21,1,1,1404,5,1,1
T0017219,U2731,3689.59,NEFT,09-06-2024 03:25,Delhi,0,Desktop,0,0,419,4742.44,3,0,999,3,1,0
T0097260,U10705,1231.69,POS,08-02-2024 17:41,Delhi,0,Mobile,0,0,1410,3817.1,1,0,767,17,0,0
T0037773,U4786,7764.29,UPI,12-05-2024 09:32,Bangalore,0,Mobile,0,0,3057,4466.07,1,1,1135,9,1,0
T0023204,U3335,3786.65,NEFT,15-01-2024 11:55,Hyderabad,0,Mobile,0,0,1700,3923.26,2,1,748,11,0,0
T0038271,U4833,3953.71,UPI,10-05-2024 02:26,Kolkata,0,Mobile,0,0,802,3211.13,3,0,851,2,0,0
T0040698,U5067,2821.01,POS,15-05-2024 04:08,Chennai,0,Mobile,0,1,1348,3777.2,4,1,529,4,0,0
T0079108,U8899,1925.19,UPI,23-05-2024 22:59,Kolkata,0,Tablet,1,0,2886,3390.02,1,1,1057,22,0,0
T0028701,U3882,4659.03,UPI,24-01-2024 09:43,Chennai,0,Tablet,0,0,1686,4059.47,0,1,1358,9,0,0
T0036643,U4673,4776.29,UPI,14-03-2024 07:57,Mumbai,0,Mobile,0,0,3232,3938.37,5,0,784,7,0,0
T0009057,U1911,3290.34,ATM Withdrawal,06-07-2024 07:21,Bangalore,0,Mobile,0,1,1899,4612.45,2,1,219,7,1,0
T0060060,U7002,4756.57,UPI,12-02-2024 10:32,Hyderabad,0,Mobile,0,0,955,3731.03,5,0,838,10,0,0
T0029117,U3924,3561.4,UPI,29-11-2024 10:23,Hyderabad,0,Mobile,0,0,313,5973.95,4,1,1013,10,0,0
